מפתח,חטיבה,חטיבה (כן/לא),רמה,WCOID,Occurence,האם שונה ביחס למסר המקור,XML Tag Name,"הצהרה
M/C/O/N",שם שדה/חטיבה,תיאור/ הערות,תיאור WCO,פורמט,Data Type,שם שדה בדור קיים,שם טבלה DATA BASE,מספר טבלה DATA BASE
1918,Declaration,לא,2,383 ,0..1,לא,|           |____ VersionID,N,מספר גרסא,"מספר הגרסא שנקבע עבור הצהרה זו.
השדה משמש רק עבור מסר המשוב. בעת שידור מסר קליטה (טיוטא) מהסוכן אל המכס, אין צורך לציין את מספר הגרסא.",The sequential number that determines the version of a specific document/message number.,an..9, Identifier,,,
1919,Declaration,לא,2,I76,0..1,כן,|           |____ ExpenseLoadingFactor,N,מקדם העמסה,"מקדם העמסה משמש לצורך העמסת עליות הביטוח ההובלה על גבי עלות הסחורה על מנת לגבות עליהם מיסים. מושג זה מחליף את המושג ""מדד"" מהמערכת הישנה. מקדם העמסה מתקבל מסכימה של: סה""כ עלויות הטובין בשקלים + סך עלויות ביטוח + סף עלויות הובלה + סך עלויות הוצאות נוספות (כגון אגרות נמל) חלקי סך עלויות הסחורה. לאחר ערך המקדם המערכת מחשבת המיסים לפי ערך הסחורה * ערך המקדם.
שדה זה משמש רק מסר המשוב.","מקדם העמסה משמש לצורך העמסת עליות הביטוח ההובלה על גבי עלות הסחורה על מנת לגבות עליהם מיסים. מושג זה מחליף את המושג ""מדד"" מהמערכת הישנה. מקדם העמסה מתקבל מסכימה של: סה""כ עלויות הטובין בשקלים + סך עלויות ביטוח + סף עלויות הובלה + סך עלויות הוצאות נוספות (כגון אגרות נמל) חלקי סך עלויות הסחורה. לאחר ערך המקדם המערכת מחשבת המיסים לפי ערך הסחורה * ערך המקדם.","n..5,2",Numeric,,,
2013,Declaration,לא,2,I90,0..1,כן,|           |____ AutonomyRegionType,C,קוד אזור אוטונומיה,"שדה זה מציין להיכן ההצהרה הזו מיועדת באוטונומיה. יש להבדיל בין הצהרות שמיועדות לאיו""ש ובין אלו שמיועדות לעזה. חשוב לציין שהשדה הוא חובה במידה ותהליך ההצהרה הוא אוטונומיה.",קוד האזור באוטונומיה אליו מיועדת ההצהרה להגיע,an..4,code,,AutonomyType,1264
2017,declaration,לא,2,I92,0..1,כן,|           |____ TehilaDeclarationID,C,מס' אסמכתא של תהילה לטופס ההצהרה,"מס' אסמכתא של תהילה לטופס ההצהרה. מיועד עבור הצהרה שהתקבלה דרך האינטרנט ולא דרך סוכן מכס ולכן שדה זה במקום שדות ""מזהה תיק סוכן"" ו""מזהה רשומת סוכן""","מס' אסמכתא של תהילה לטופס ההצהרה. מיועד עבור הצהרה שהתקבלה דרך האינטרנט ולא דרך סוכן מכס ולכן שדה זה במקום שדות ""מזהה תיק סוכן"" ו""מזהה רשומת סוכן""",an..35, Identifier,,,
2028,declaration,לא,2,277,0..1,כן,|           |____ ReleaseDateTime,N,תאריך התרה,"התאריך בו ההצהרה קיבלה התרה. משמש רק כאשר משדרים את ההצהרה לגורמי חו""ל ורק אם כבר הייתה התרה. אחרת השדה ריק",The date and time the goods have been released from government custody.,"an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
", Date Time,,,
2024,Declaration,כן,2,17L,0..1,כן,|           |         CustomsValueComponent,N,ערכים למכס,"חטיבה זו מכילה את הערכים הכספיים שחושבו ברמת כלל ההצהרה ושימשו לחישוב המיסים. 
למשל: ערך CIF, מחיר מקובל וכו'",,,חטיבה,,,
2025,Declaration,לא,3,I98,0..1,כן,|           |           |____ totalDealValueAmountNIS,N,"סה""כ ערך עסקה לחישוב מס","סה""כ בשקלים של ערך כלל הסחורות שבהצהרה כולל הנחות והתאמות וכולל הכפלה במקדם העמסה מכסי.",,,,,,
2026,Declaration,לא,3,I99,0..1,כן,|           |           |____ cifValueNIS,N,"סה""כ ערך CIF","ערך העסקה מייצג את הערך לפיו נמכרו הטובין, בתוספת הוצאות הובלה וביטוח עד לגבול הארץ המייבאת, כולל דמי רציף והוצאות סבלות.",,,,,,
2027,Declaration,לא,3,120,0..1,כן,|           |           |____ TaxAssessedAmount,N,"סה""כ מיסים להצהרה",הסכום הכולל של כל המיסים שיש להצהרה זו,,,Amount,,,
1763,declaration,כן,2,02A,0..999,כן,|           |____ AdditionalDocument,O,צרופות להצהרת יבוא,"קישור למסמכים מצורפים ברמת הצהרה
חטיבה זו מכילה את ההצבעות אל הצרופות השונות שרוצים לקשר לרמת ההצהרה. מסר הצרופה המכיל את הקובץ הסרוק והמאפיינים שלו נקלט בנפרד. ממסר ההצהרה רק מצביעים אליו באמצעות אחד משני המפתחות האפשריים: מזהה סוכן - המפתח המזהה את ההצהרה במערכת הסוכן או מזהה מכס - המפתח שניתן לו בעת קליטת הצרופה.",,,חטיבה,,,
1852,declaration,כן,3,01L,0..1,כן,|           |           |____DMExtensions,O,הרחבות ישראליות,הרחבה ישראלית של קישור למסמכים מצורפים,,,חטיבה,,,
1915,declaration,לא,4,I74,0..1,כן,|           |           |           |____ AttachmentID,O,זיהוי צרופה במערכת המכס,מספר הצרופה כפי שהיא נקבעה בעת הקליטה שלה במערכת המכס. (הצרופה נקלטת בנפרד מההצהרה),,an..17, Identifier,,,
1765,declaration,לא,4,I06,0..1,כן,|           |           |           |____ ExternalAttachmentID,O,זיהוי הצרופה במערכת סוכן המכס,מספר הצרופה כפי שהיא נקבעה במערכת הסוכן ,#N/A,an..35, Identifier,,,
1870,declaration,כן,2,99A,0..1,כן,|           |____ PreviousDocument,C,קישור למסמכים מובילים קודמים ברמת הצהרה,"קישור למסמך מוביל אחר.
ישנם מקרים שרוצים להצביע על קשר בין מסמכים מובילים. למשל בתהליך של הצהרת יבוא המחליף מ.ב. 161 (במקרה שמחליטים להשאיר את הרכב בארץ) בהצהרת היבוא יש צורך להצביע על המ.ב. 161 שבו נכנס נרכב לארץ.
מקרים נוספים - הצהרת יבוא המחליפה קרנה, הצהרת יבוא המחליפה מ.ר. וכו'. 
הגדרת מסמך מוביל: מסמך מוביל הינו מסמך בתיק העסקה המשמש לצורך שחרור הטובין מרשות המכס. הצהרת יבוא /קרנה/מ.ב. הינם סוגים של מסמכים מוביל.",,,חטיבה,,,
1871,declaration,לא,3,D018,0..1,כן,|           |           |____ ID,C,מספר מסמך מוביל קודם,מספר המסמך המוביל הנוסף אליה קשורה הצהרה זו.,The number of a previous document.,an..35, Identifier,,,
2014,declaration,לא,3,D019 ,0..1,לא,|           |           |____ TypeCode,C,סוג הצהרה קשורה,סוג ההצהרה הקשורה (הצהרת יבוא/הצהרת יצוא/הצהרת שטעון/קרנה/ מ.ב.161),#N/A,an..3, Code,,LeadDocumentType,1375
26,declaration,כן,1,05A,0..999,לא,|____ Agent,C,פרטי סוכן,"פרטי סוכן המכס המטפל בהצהרה.
בכל הצהרה יכול להיות רק סוכן אחד.
בעבר עלתה בקשה לאפשר יותר מסוכן אחד בהצהרה על מנת לאפשר להגדיר ""סוכן מטפל"" שהוא נציג שטח של הסוכן האחראי. בקשה זו נדחתה בסופו של דבר אבל התשתית למימושה נשארה.",,,חטיבה,,,
28,declaration,לא,2,R004,0..1,לא,|           |____ ID,C,מזהה סוכן מכס,"מספר סוכן חיצוני: ת.ז/ח.פ. 
במקרה של יבואן עם אינדקציה  ""יבואן אושר לסוכן מכס"", יוזן מספר ת.ז/ח.פ של היבואן. ",Identification of a party authorised to act on behalf of another party.,an..17, Identifier,MIS-SOCHEN,,
31,declaration,לא,2,R005,0..1,לא,|           |____ RoleCode,C,תפקיד סוכן,מגדיר מה הסוג של הסוכן. סוכן / בלדר (רלוונטי רק בתהליך בלדרים),Code giving specific meaning to a party.,an..3, Code,,AgentRoleType,1936
128,Declaration,כן,1,50A,0..999,לא,|____ DutyTaxFee,N,פרטי מיסים ברמת ההצהרה,"פרטי המיסים שושבו ע""י המכס ברמת הצהרה ומדווחים לסוכן. במסר הטיוטא נתונים אלו לא קיימים.
",Code of the storage country,,חטיבה,,,
136,Declaration,לא,2,113 ,0..1,לא,|           |____ TypeCode,N,סעיף מס שחושב,"סעיף מס לתשלום.
אחד מסעיפי המס יכול להיות היטל, במידה והוזן כפרמטר לחישוב המיסים בעת קליטת ההצהרה.",Code specifying a type of duty or tax applicable to commodities or a type of tax or fee applicable to services.,an..3,Code,,ParagraphType,1120
1921,Declaration,כן,2,01L,1..1,כן,|           |____ DMExtensions,N,הרחבות ישראלוית לפרטי מיסים ברמת הצהרה,שדות אלו מהווים את ההרחבות הישראליות לנושא הדיווח על המיסים ואופן חישובם. שדות אלו לא היו קיימים במסר המקורי של ה-WCO ונוספו על מנת לתמוך בדרישות הישראליות,Code specifying the status of a document.,an..3,חטיבה,,,
1926,Declaration,כן,3,04L,1..1,כן,|           |           |____ CalculatedTax,N,מיסים מחושבים,"בחטיבה זו מופיעים כל השדות המציינים את סעיפי המס והסכומים השונים שחושבו עבורם ברמת סה""כ של כלל ההצהרה.",Date of initial loading onto ship or airplane during one journey from export place to import place.,"an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
",חטיבה,,,
1927,Declaration,לא,4,I48,1..1,כן,|           |           |           |____amount,N,סכום מס,"סכום המס שחושב ע""י המערכת לסוג המס הנדון","סכום המס שחושב ע""י המערכת לסוג המס הנדון","n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
1928,Declaration,לא,4,I49,0..1,כן,|           |           |           |____deferedTaxAmount,N,סכום מס נדחה,סכום המס הנדחה (לסוג מס זה). סכום זה הופחת מערך המס שחושב.,סכום המס הנדחה (לסוג מס זה). סכום זה יש להפחית מערך המס שחושב.,"n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
148,GoodsShipment,כן,1,67A,1..999,לא,|____ GoodsShipment,M,פרטי העסקה מההיבט המסחרי,"חטיבה זו מקבילה לחטיבת חשבון המכר, היא מכילה את הפרטים של העסקה מההיבט המסחרי כולל תנאי המכר, הפרטים הכלליים של החשבון ונתונים נוספים של החשבון. כמו וכן כל הסחורות הקשורות לחשבון המכר.
בשל מגבול המבנה של ה-WCO , גם חטיבת המשגור (Consignmet) נמצאת תחת חטיבה זו. אולם מאחר ולא ניתן לקשר באופן מלא בין המשגור לחשבונות השונים, נקבע שנתוני המשגור יופיעו במופע הראשון של חטיבת GoodShipment. בצורה זו נשמר מבנה המסר של ה-WCO.",,,חטיבה,,,
153,GoodsShipment,לא,2,006,0..1,לא,|           |____ SequenceNumeric,M,מספר מופע חשבון מכר,מספר רץ של החטיבה,Number indicating the position in a sequence.,n..5,Numeric,,,
155,GoodsShipment,כן,2,02A,0..999,לא,|           |____ AdditionalDocument,O,קישור למסמכים מצורפים לחשבון,קישור למסמכים מצורפים,,,חטיבה,,,
1854,GoodsShipment,כן,3,01L,0..1,כן,|           |           |____ DMExtensions,O,הרחבות ישראליות לצרופות לחשבון מכר,תוספת של שדות יחודיים למכס הישראלי ברמת מזהה המטען,,,חטיבה,,,
1805,GoodsShipment,לא,4,I06,0..1,כן,|           |           |           |____ ExternalAttachmentID,O,מספר הצרופה במע סוכן המכס,מספר יחודי במערכת הסוכן אשר מזהה את המסמך במערכת שלו,#N/A,an..35, Identifier,,,
1910,GoodsShipment,לא,4,I74,0..1,כן,|           |           |           |____ AttachmentID,O,זיהוי צרופה במערכת המכס,מספר הצרופה כפי שהיא נקבעה בעת הקליטה שלה במערכת המכס. (הצרופה נקלטת בנפרד מההצהרה),,an..17, Identifier,,,
269,Consignment,כן,2,28A,0..999,לא,|           |____ Consignment,O,משגור,"פרטי המשגור ביבוא. כאן יופיעו כל הנתונים הלוגיסטיים הדרושים לצורך השלמת תהליך השחרור ומתן ההתרה על מטען. 
למרות שלפי מבנה מסר ה-WCO חטיבה זו ממומקת תחת חשבון המכר, אין לזה משמעות. לא ניתן לספק את הקשר בין הפן הלוגיסטי (משגור) לפן המכסי (חשבון מכר). כדי לשמור על מבנה המסר מצד אחד ועדיין לקבל את הנתונים לפי דרישת המכס הוגדר חוק עסקי שיוודא שכל המשגורים מדווחים במופע הראשון של החשבון. ",,,חטיבה,,,
275,Consignment,לא,3,006,0..1,לא,|           |           |____ SequenceNumeric,O,מספר מופע משגור,"מספר רץ
מס מופע של חטיבת המשגור(יכולה להיות רב פעמית)",Number indicating the position in a sequence.,n..5,Numeric,MIS-RAZ-MISHGOR,,
1856,Consignment,כן,3,01L,0..1,כן,|           |           |____ DMExtensions,O,הרחבות ישראליות  (רמת משגור),תוספת של שדות יחודיים למכס הישראלי ברמת המשגור,,,חטיבה,,,
1731,Consignment,לא,4,138,0..1,כן,|           |           |           |____ CargoDescription,M,תאור טובין במשגור,תאור כללי של המטען המופיע בשטר המטען.,"Plain language description of the cargo of a means of transport, in general terms only.",an..256,Text,"TEUR-TUVIN-1
TEUR-TUVIN-2
TEUR-TUVIN-3",,
1849,Consignment,לא,4,I05,0..1,כן,|           |           |           |____ LastReleaseFromWarehousInd,C,אינדיקצית שחרור אחרון,"בשחרור חלקי של טובין, אינדיקציה לשחרור אחרון של הטובין. השדה משמש את ההצהרות בתהליך שח""מ בלבד. כאשר מתקבלת הצהרת שח""מ עם אינדיקצית שחרור אחרון, מתבצעות בדיקות ""סגירת גוש"" מול מנהל אחסנה.",#N/A,n1,indicator,,,
151,Consignment,לא,4,062,0..1,לא,|           |           |           |____ ExportationCountryCode,M,ארץ יצוא (ארץ מוצא),"זיהוי המדינה ממנה יצא המטען בתחילת המסע. השדה לא נלקח משט""מ משום במקרים של שטעון נמל הטעינה האחרון יכול להשתנות וזה עדיין לא צריך להשפיע על המדינה ממנה יצא המטען מלחתחילה.
היות וכל חשבון יכול להגיע מדינה אחרת השדה צריך להיות ברמה זו.
בהמשך למייל של ראובן מלצר בנושא הגדרות מושגים של מקור הטובין לצרכי סטטיסטיקות יש לקבל החלטה האם יהיה צורך בשדה זה לפי התיאור הבא (סעיף 2.ב) :
המייל המקורי:
1.    ארץ מקור – הארץ בה יוצרו או הופקו הטובין.
2.    ארץ יצוא –
א)      במקום מונח זה ברשימון הלוגי יבוא: ארץ נמל הטעינה האחרונה. יש לשנות את המונח בחטיבת ""משגור"" של הרשימון הלוגי בהתאם.
ב)      יחד עם זאת, נשאלת השאלה האם אין צורך בהמשך קיומו של שדה ""ארץ יצוא"", אשר ימולא ע""י סוכן המכס במקום אחר ברשימון. משמעות ההגדרה תמשיך להיות: ""הארץ ממנה יוצאו הטובין"". בהעדר הגדרה זאת, לא נוכל לדעת מהי ארץ היצוא במקרים בהם ספק במדינה א' מוכר לישראל טובין שארץ המקור שלהם במדינה ב', אך מיוצאים ממדינה ג' תוך כדי שטעון בנמל שבמדינה ד' (ככל שיש מקרים כאלה).
3.    ארץ ספק – נפסיק להשתמש במונח, ובמקומו יבוא: ארץ הנפקת החשבון.
4.    ארץ קניה – נפסיק להשתמש במונח.

",To identify the country from which the goods are originally exported without any commercial transaction taken place in intermediate countries.,a2,Code,,country,1136
1783,Consignment,כן,4,15L,0..999,כן,|           |           |           |____ PackagesMeasure,O,כמות אריזות באתרי מכס (מכולות/יחידות היטס וכו'),"משמש לשמירה של כמות ומשקל אריזות באתר אחסון (לפי הכמות המופיע בשט""מ) או כמות אריזות המיועדת להיכנס למחסן.
מאחר והחטיבה הזו משמשת לדיווח שני סוגים של כמויות של אריזות יש צורך להבדיל בינהן. זה נעשה באמצעות השדה הזה שיציין מה סוג הכמות עליה מדברים באותו מופע של החטיבה.
בכל ההצהרות חובה שיהיה מופע אחד לפחות של חטיבת הכמויות עם סוג כמות ""כמות אריזות באתר מסירה"". בהצהרות בתהליך כנ""מ/שח""מ/יצוא ממחסן בלבד חובה שיהיה בנוסף גם מופע החטיבה עם סוג כמות ""כמות אריזות במחסן"".

הנתונים של כמות אריזות באתר מסירה משמשים לבדיקות הזמינות מול אתר המסירה. רק כאשר הכמויות התיאורטיות (נתוני המשגור) והכמויות הפיסיות (הנתונים במנהל מעקב מטענים) יהיו זהות בדיקת הזמינות תחזיר תשובה חיובית.
הנתונים של כמות אריזות במחסן משמשים לבדיקות תקינות אל מול המחסנים בעת כניסה או שחרור ממחסן.",,,חטיבה,,,
1784,Consignment,לא,5,006,0..1,כן,|           |           |           |           |____ SequenceNumeric,,מספר מופע כמות אריזות,מספר רץ,Number indicating the position in a sequence.,n..5,Numeric,,,
1785,Consignment,לא,5,I10,0..1,כן,|           |           |           |           |____ PackageMeasureQualifier,C,סוג כמות אריזות במשגור,"מאפיין של סוג הכמות. (יציין אם זה כמות אריזות באתר המחסן / כמות אריזות באתר מסירה).
",#N/A,an..4,Code,,PackageMeasureQualifier,1593
1786,Consignment,לא,5,146,0..1,כן,|           |           |           |           |____ TotalPackageQuantity,C,כמות אריזות במשגור,"ערך עבור כמות האריזות
כמות אריזות – כמות אמצעי הובלה",,n..8,Quantity,KAMUT-ARIZOT,,
1787,Consignment,לא,5,126,0..1,כן,|           |           |           |           |____ GrossMassMeasure,C,משקל האריזות במשגור,משקל הסחורה כולל האריזות אך לא כולל את יחידות השינוע (מכולות/יחידות היטס),Weight of line item including packaging but excluding the transport equipment.,"n..11,3
(Floating delimiter with maximum decimals as defined)",Measure,MISHKAL-ARIZOT,,
1744,Consignment,לא,5,141,0..1,כן,|           |           |           |           |____TypeCode,C,קוד אריזה,"סוג האריזה (מכולה/כללי/משטח/וכו') המדווחת ברמת המשגור
סוג אריזות – אמצעי הובלה",Code specifying the type of package of an item.,an..2,Code,SUG-ARIZOT,PackingType,1091
1998,Consignment,לא,5,142,0..1,לא,|           |           |           |           |____ MarksNumbers,C,סימנים ומספרים,"טקטס חופשי המתאר את הסימנים המצוינים על גבי האריזה. משמש את המחסנים לצורך שחרור האריזה המתאימה מהגוש. הנתון מוזן ע""י סוכן המכס ומועבר למחסן במסגרת מסר ההתרה.",Free form description of the marks and numbers on a transport unit or package.,an..512,Identifier,,,
1777,Consignment,כן,4,05B,0..999,כן,|           |           |           |____ RegisteredFacility,O,אתר מכס,"חטיבה זו משמשת להזנת כל סוגי אתרי האחסון במשגור שלא נמצא להם שדה ייעודי בחטיבה. מופיעים כאן (אתר מסירה/ מחסן/ מעברים פנימיים). רק אתרים שהם בתוך מדינת ישראל יופיעו בחטיבה זו. אתרי חו""ל כגון נמלי פריקה ונמל סופי יופיעו בשדות אחרים במסר. ",,,חטיבה,,,
1778,Consignment,לא,5,006,0..1,כן,|           |           |           |           |____ SequenceNumeric,,מספר מופע אתרים במשגור,מספר רץ,Number indicating the position in a sequence.,n..5,Numeric,,,
1779,Consignment,לא,5,L086,0..1,כן,|           |           |           |           |____ ID,C,זיהוי אתר,המפתח המזהה את האתר במערכת,Identification of a facility that has been formally documented as compliant with regulations or statutes by a regulatory authority.,an..256, Identifier,"MIS-ATAR-ICHSUN
MIS-MACHSAN","עבור אתרים פנימיים - InternalBorderSiteType
עבור מחסנים רשויים - RegisteredWarehouseSiteType
עבור אתרי מסירה - DeliverySiteType
","עבור אתרים פנימיים - 2013
עבור מחסנים רשויים - 2014
עבור אתרי מסירה - 2012
"
1780,Consignment,לא,5,L047,0..1,כן,|           |           |           |           |____FacilityType,C,סוג אתר בהצהרה,"בכל הצהרה יש מספר אתרים אפשריים, מחסן מקבל/אתר מסירה/מעבר פנימי ושדה זה מציין את השימוש של האתר בהצהרה.",Type of facility.,an..256, Code,,SiteRoleType,1434
370,Consignment,כן,3,83A,0..1,לא,|           |           |____ LoadingLocation,O,פרטי אתר טעינה אחרון,פרטי נמל טעינה אחרון,,,חטיבה,,,
371,Consignment,לא,4,L010,0..1,לא,|           |           |           |____ ID,C,קוד אתר טעינה אחרון,"זיהוי אתר הטעינה האחרון בחו""ל","Name of a seaport, airport, freight terminal, rail station or other place at which goods are loaded onto the means of transport being used for their carriage.",an..17, Identifier,KOD-NAMAL-TEINA,InternationalSite,1344
430,Consignment,כן,3,30B,0..1,לא,|           |           |____ TransportContractDocument,O,פרטי מזהה מטען,פרטי שטר מטען,,,חטיבה,,,
431,Consignment,לא,4,D023,0..1,לא,|           |           |           |____ ID,C,מזהה מטען ראשון,"מזהה מטען ראשון יכיל את מספר המצהר.
באוויר מספר המצהר מורכב מהנתונים הבאים:
תאריך יציאה, מספר טיסה, חברת תעופה.
בים - מספר המצהר כפי ששודר ע""י חברת הספנות",Reference number to identify a document evidencing a transport contract.,an..35, Identifier,MIS-MIZHAR,,
433,Consignment,לא,4,D024,0..1,לא,|           |           |           |____ TypeCode,C,סוג מזהה מטען,"ערך המשקף את סוג המסר/מסמך שמציין את פרטי המטען של עיסקה זו. יכול להיות שט""מ אווירי/מס' עסקה ימי וכו'",Code to identify the type of a document evidencing a transport contract.,an..3, Code,SUG-MEZAHE-MITAN,CargoIdentifierType,1259
432,Consignment,לא,4,D020,0..1,לא,|           |           |           |____ IssueDateTime,C,תאריך מזהה מטען,"תאריך ההפקה של מזהה המטען. בשט""מ אוויר התאריך הוא תאריך היציאה הצפוי",Date of issue of a transport contract document.,"an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
", Date Time,TARICH-SHTAR-MITAN,,
1858,Consignment,כן,4,01L,0..1,כן,|           |           |           |____ DMExtensions,O,הרחבות ישראליות,תוספת של שדות יחודיים למכס הישראלי ברמת מזהה המטען,,,חטיבה,,,
1846,Consignment,לא,5,I11,0..1,כן,|           |           |           |           |____ SecondCargoID,O,מזהה מטען שני,"מזהה מטען שני מכיל:
באוויר - שט""מ מאסטר
בים - מספר עסקה
במסופי גבול (יבשה) - מספר עסקה",#N/A,an..35, Identifier,"MIS-MEZAHE-MITAN
MEZAHE-ISKA",,
1847,Consignment,לא,5,I12,0..1,כן,|           |           |           |           |____ ThirdCargoID,O,מזהה מטען שלישי,"מזהה מטען שלישי מכיל:
באוויר - שט""מ פנימי (house bill)
בים - לא מוזן
במסופי גבול (יבשה) - לא מוזן",#N/A,an..35, Identifier,MIS-SHTAR-MITAN-PNIMI ,,
512,Consignment,כן,3,38B,0..1,לא,|           |           |____ UnloadingLocation,C,פרטי אתר פריקה,נתונים של מזהה אתר הפריקה בארץ,,,חטיבה,,,
513,Consignment,לא,4,172,0..1,לא,|           |                      |____ ArrivalDateTime,C,תאריך הגעה (גמר פריקה/נחיתה צפוי),"כאן מדווחים את המועד הצפוי של גמר הפריקה במקרים בהם מגישים את הרשימון לפני שהמצהר קיים.
הערה: ביבוא בתהליך בלדרים - אין כל שימוש בשדה הזה לצורך משלוח ההודעה המוקדמת.","Date and time / scheduled date and time of arrival of means of transport at (for air) first airport, (land) arrival at first border post and (sea) arrival at first port, coded.","an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
",Date Time,KOD-NAMAL-PRIKA,,
514,Consignment,לא,4,L013,0..1,לא,|           |                      |____ ID,C,קוד אתר פריקה,זיהוי האתר בו נפרקו הטובין בארץ,"Name of a seaport, airport, freight terminal, rail station or other place at which goods are loaded onto the means of transport being used for their carriage.",an..17, Identifier,TARICH-GMAR-PRIKA,,
